method,bits_per_key,incoming_attempts_per_second,backend_invocations_per_second,worker_utilization,p50_wait_ms,p95_wait_ms,p99_wait_ms,fraction_wait_gt_1s,valid_drop_rate_for_rate_limit_baselines,raw_invalid_forward_rate
TRAPS+ReplayCache,16.0,350.0,28.050092856307398,0.42800935437118054,0.0,0.0,26.116617278498243,5.2481291704818846e-17,0.0,0.0001555678767310421
Peppered tag,16.0,350.0,28.004913330078125,0.4273199712753296,0.0,0.0,25.857280687709366,5.016297633474813e-17,0.0,1.5258789062499998e-05
Adaptive tag,16.0,350.0,28.003333153735557,0.42729585975956247,0.0,0.0,25.848212081228958,5.0083772580700893e-17,0.0,1.0351409116635597e-05
RateLimit+Tag,16.0,350.0,27.998919665527346,0.4272285154463654,0.0,0.0,25.8228837898119,4.986321551202125e-17,0.0001,5.340576171874997e-06
Global Bloom,16.0,375.0,30.15823028522429,0.46017689636466613,0.0,0.0,38.36841463886356,4.3207284059870383e-16,0.0,0.0004586385078964976
TRAPS learned,16.0,375.0,30.107341834944418,0.45940040222395817,0.0,0.0,38.06829782933168,4.1063540824742765e-16,0.0,0.0003111357534620842
TRAPS+ReplayCache,16.0,375.0,30.05367091747221,0.4585814511119791,0.0,0.0,37.752051964486604,3.8917722019274293e-16,0.0,0.0001555678767310421
Peppered tag,16.0,375.0,30.005264282226562,0.4578428263664246,0.0,0.0,37.467068843353765,3.707871519425962e-16,0.0,1.5258789062499998e-05
Adaptive tag,16.0,375.0,30.003571236145238,0.4578169925995312,0.0,0.0,37.45710556783418,3.701599233212968e-16,0.0,1.0351409116635597e-05
RateLimit+Tag,16.0,375.0,29.9988424987793,0.45774483797824866,0.0,0.0,37.429279267156616,3.6841366630990204e-16,0.0001,5.340576171874997e-06
Global Bloom,16.0,400.0,32.16877897090591,0.4908553561223106,0.0,2.237124872904722,50.47098344660572,3.2264665569631127e-15,0.0,0.0004586385078964976
TRAPS learned,16.0,400.0,32.11449795727405,0.4900270957055554,0.0,1.981480865663958,50.137001560102064,3.055999108537317e-15,0.0,0.0003111357534620842
TRAPS+ReplayCache,16.0,400.0,32.05724897863703,0.48915354785277776,0.0,1.7120744153212364,49.785249129817224,2.885960002067647e-15,0.0,0.0001555678767310421
Peppered tag,16.0,400.0,32.005615234375,0.4883656814575196,0.0,1.469279214933184,49.46842598114998,2.7407287623495083e-15,0.0,1.5258789062499998e-05
Adaptive tag,16.0,400.0,32.00380931855492,0.48833812543949995,0.0,1.4607904998252823,49.45735222811179,2.7357837034430487e-15,0.0,1.0351409116635597e-05
RateLimit+Tag,16.0,400.0,31.998765332031255,0.48826116051013196,0.0,1.4370823464276707,49.42642544736315,2.722019190502922e-15,0.0001,5.340576171874997e-06
Global Bloom,16.0,425.0,34.17932765658753,0.5215338158799551,0.0,11.877729041094536,63.20426278875922,2.4093359880654883e-14,0.0,0.0004586385078964976
TRAPS learned,16.0,425.0,34.12165407960367,0.5206537891871525,0.0,11.595692142978468,62.827996044389906,2.2743120451399557e-14,0.0,0.0003111357534620842
TRAPS+ReplayCache,16.0,425.0,34.06082703980184,0.5197256445935764,0.0,11.298637610772811,62.43193354861661,2.140095745945616e-14,0.0,0.0001555678767310421
