seed,method,method_kind,bits_per_key,N_keys,N_valid,N_events,N_invalid,N_invalid_unique,N_invalid_repeated,valid_forwarded,valid_rejected,valid_throttled,invalid_forwarded,invalid_forwarded_unique,invalid_forwarded_repeated,invalid_rejected_by_index,invalid_rejected_by_cache,invalid_throttled,raw_invalid_forward_rate,first_seen_invalid_forward_rate,replay_suppression_rate,backend_work_reduction,valid_rejection_rate,backend_invocations,probe_cost
0,RateLimit+Tag+NegCache,operational,12.0,200000,50000,1050000,1000000,500000,500000,49993,0,7,39,39,0,499961,500000,0,3.9e-05,7.8e-05,1.0,0.9523504761904762,0.00014,50032,1.0
0,No admission,backend-only,14.0,200000,50000,1050000,1000000,500000,500000,50000,0,0,1000000,500000,500000,0,0,0,1.0,1.0,0.0,0.0,0.0,1050000,0.0
0,Global Bloom,one-sided AMQ,14.0,200000,50000,1050000,1000000,500000,500000,50000,0,0,1200,602,598,998800,0,0,0.0012,0.001204,0.0,0.9512380952380952,0.0,51200,10.0
0,GlobalBloom+NegCache,one-sided AMQ+cache,14.0,200000,50000,1050000,1000000,500000,500000,50000,0,0,602,602,0,499398,500000,0,0.000602,0.001204,1.0,0.951807619047619,0.0,50602,10.0
0,Hash partition,one-sided AMQ,14.0,200000,50000,1050000,1000000,500000,500000,50000,0,0,1222,618,604,998778,0,0,0.001222,0.001236,0.0,0.9512171428571429,0.0,51222,10.0
0,Risk partition,one-sided AMQ,14.0,200000,50000,1050000,1000000,500000,500000,50000,0,0,820,372,448,999180,0,0,0.00082,0.000744,0.0,0.9516,0.0,50820,11.029636057414148
0,TRAPS learned,one-sided AMQ,14.0,200000,50000,1050000,1000000,500000,500000,50000,0,0,795,394,401,999205,0,0,0.000795,0.000788,0.0,0.9516238095238095,0.0,50795,11.272070236275468
0,TRAPS+ReplayCache,one-sided AMQ+cache,14.0,200000,50000,1050000,1000000,500000,500000,50000,0,0,394,394,0,499606,500000,0,0.000394,0.000788,1.0,0.9520057142857143,0.0,50394,11.272070236275468
0,Oracle AMQ,oracle,14.0,200000,50000,1050000,1000000,500000,500000,50000,0,0,731,352,379,999269,0,0,0.000731,0.000704,0.0,0.9516847619047619,0.0,50731,10.977267102286202
0,Peppered tag,one-sided tag,14.0,200000,50000,1050000,1000000,500000,500000,50000,0,0,60,20,40,999940,0,0,6e-05,4e-05,0.0,0.9523238095238096,0.0,50060,1.0
0,Peppered tag-64,production upper bound,14.0,200000,50000,1050000,1000000,500000,500000,50000,0,0,0,0,0,1000000,0,0,0.0,0.0,0.0,0.9523809523809523,0.0,50000,1.0
0,Adaptive tag,one-sided tag,14.0,200000,50000,1050000,1000000,500000,500000,50000,0,0,38,25,13,999962,0,0,3.8e-05,5e-05,0.0,0.9523447619047619,0.0,50038,1.0
0,Tag+NegCache,one-sided tag+cache,14.0,200000,50000,1050000,1000000,500000,500000,50000,0,0,20,20,0,499980,500000,0,2e-05,4e-05,1.0,0.9523619047619047,0.0,50020,1.0
0,NegCache only,exact cache,14.0,200000,50000,1050000,1000000,500000,500000,50000,0,0,500000,500000,0,0,500000,0,0.5,1.0,1.0,0.47619047619047616,0.0,550000,0.0
0,RateLimit+Tag,operational,14.0,200000,50000,1050000,1000000,500000,500000,49995,0,5,21,6,15,999979,0,0,2.1e-05,1.2e-05,0.0,0.9523657142857143,0.0001,50016,1.0
0,RateLimit+Tag+NegCache,operational,14.0,200000,50000,1050000,1000000,500000,500000,49998,0,2,6,6,0,499994,500000,0,6e-06,1.2e-05,1.0,0.9523771428571428,4e-05,50004,1.0
0,No admission,backend-only,16.0,200000,50000,1050000,1000000,500000,500000,50000,0,0,1000000,500000,500000,0,0,0,1.0,1.0,0.0,0.0,0.0,1050000,0.0
0,Global Bloom,one-sided AMQ,16.0,200000,50000,1050000,1000000,500000,500000,50000,0,0,485,249,236,999515,0,0,0.000485,0.000498,0.0,0.9519190476190477,0.0,50485,11.0
0,GlobalBloom+NegCache,one-sided AMQ+cache,16.0,200000,50000,1050000,1000000,500000,500000,50000,0,0,249,249,0,499751,500000,0,0.000249,0.000498,1.0,0.9521438095238095,0.0,50249,11.0
0,Hash partition,one-sided AMQ,16.0,200000,50000,1050000,1000000,500000,500000,50000,0,0,424,207,217,999576,0,0,0.000424,0.000414,0.0,0.9519771428571429,0.0,50424,11.0
0,Risk partition,one-sided AMQ,16.0,200000,50000,1050000,1000000,500000,500000,50000,0,0,323,175,148,999677,0,0,0.000323,0.00035,0.0,0.9520733333333333,0.0,50323,12.029636057414148
