method,request_rate,backend_rate,forward_fraction,p95_latency_ms,utilization
Adaptive tag,525.0,42.00375473210855,0.08000715187068294,178.0425031188499,0.6409247925185614
Backend only,550.0,550.0,1.0,10000.0,2.0
Global Bloom,550.0,44.232071084995624,0.08042194742726477,194.2310941229841,0.674926114668177
Risk partition,550.0,44.12466584699656,0.08022666517635738,193.39257441467407,0.6732872449928587
TRAPS learned,550.0,44.11823138827677,0.08021496616050322,193.34254823138585,0.6731890631958682
Keyed tag,550.0,44.007720947265625,0.0800140380859375,192.48698765446042,0.6715028120040893
Adaptive tag,550.0,44.00393352887562,0.08000715187068294,192.45778662532908,0.6714450207337309
Backend only,575.0,575.0,1.0,10000.0,2.0
Global Bloom,575.0,46.242619770677244,0.08042194742726477,211.28433089444027,0.7056045744258215
Risk partition,575.0,46.13033247640549,0.08022666517635738,210.25635208744296,0.7038912106743523
TRAPS learned,575.0,46.123605542289354,0.08021496616050322,210.19508137709954,0.7037885660684078
Keyed tag,575.0,46.00807189941406,0.0800140380859375,209.1482335767254,0.7020256670951843
Adaptive tag,575.0,46.004112325642694,0.08000715187068294,209.11253770470384,0.7019652489489006
Backend only,600.0,600.0,1.0,10000.0,2.0
Global Bloom,600.0,48.253168456358864,0.08042194742726477,231.5828164867308,0.7362830341834659
Risk partition,600.0,48.13599910581443,0.08022666517635738,230.28954400935092,0.7344951763558459
TRAPS learned,600.0,48.12897969630193,0.08021496616050322,230.2125491649137,0.7343880689409472
Keyed tag,600.0,48.0084228515625,0.0800140380859375,228.89857401277197,0.7325485221862793
Adaptive tag,600.0,48.00429112240977,0.08000715187068294,228.85382038879354,0.7324854771640701
Backend only,625.0,625.0,1.0,10000.0,2.0
Global Bloom,625.0,50.263717142040484,0.08042194742726477,256.48881544084213,0.7669614939411102
Risk partition,625.0,50.14166573522336,0.08022666517635738,254.81091759345776,0.7650991420373395
TRAPS learned,625.0,50.13435385031451,0.08021496616050322,254.71116443679338,0.7649875718134866
Keyed tag,625.0,50.00877380371094,0.0800140380859375,253.01122561639488,0.7630713772773743
Adaptive tag,625.0,50.00446991917684,0.08000715187068294,252.95340670972178,0.7630057053792397
Backend only,650.0,650.0,1.0,10000.0,2.0
Global Bloom,650.0,52.274265827722104,0.08042194742726477,288.1791646843571,0.7976399536987547
Risk partition,650.0,52.14733236463229,0.08022666517635738,285.91804104488955,0.795703107718833
TRAPS learned,650.0,52.1397280043271,0.08021496616050322,285.7838540590448,0.7955870746860262
Keyed tag,650.0,52.009124755859375,0.0800140380859375,283.5012338005263,0.7935942323684693
Adaptive tag,650.0,52.00464871594391,0.08000715187068294,283.423733182649,0.7935259335944091
Backend only,675.0,675.0,1.0,10000.0,2.0
Global Bloom,675.0,54.284814513403724,0.08042194742726477,330.3750971001745,0.8283184134563991
Risk partition,675.0,54.152998994041226,0.08022666517635738,327.1753940472297,0.8263070734003266
TRAPS learned,675.0,54.145102158339675,0.08021496616050322,326.98595569015146,0.8261865775585656
Keyed tag,675.0,54.00947570800781,0.0800140380859375,323.7711380717124,0.8241170874595642
Adaptive tag,675.0,54.00482751271098,0.08000715187068294,323.66224072128136,0.8240461618095788
Backend only,700.0,700.0,1.0,10000.0,2.0
Global Bloom,700.0,56.295363199085344,0.08042194742726477,390.02436877412845,0.8589968732140435
Risk partition,700.0,56.15866562345016,0.08022666517635738,385.18509115708866,0.8569110390818202
TRAPS learned,700.0,56.150476312352254,0.08021496616050322,384.89953391257677,0.856786080431105
