seed,bits_per_key,method,raw_invalid_forward_rate,first_seen_invalid_forward_rate,backend_invocations,p95_queue_delay_ms,p99_queue_delay_ms,worker_utilization,cap_exhaustions,cap_violations,valid_rejects,memory_bits_per_key,probe_cost
15,16.0,No region allocation,0.0004586385078964973,0.0004586385078964973,50519,1.4210854715202004e-14,0.0,0.21412688645833336,0,0,0,16.0,11.0
15,16.0,No false-forward cap,0.00013420260484157864,0.0002684052096831573,50113,1.4210854715202004e-14,0.0,0.2124060385416667,3,2,0,16.0,12.584170697158264
15,16.0,No replay cache,0.0003157708349213615,0.0003157708349213615,50306,1.4210854715202004e-14,0.0,0.21322407708333335,0,0,0,16.0,12.584170697158264
15,16.0,Oracle allocation,0.0001474983426822297,0.0002949966853644594,50161,1.4210854715202004e-14,0.0,0.21260948854166667,0,0,0,16.0,12.264296075833622
16,16.0,TRAPS full,0.00014968579884923233,0.00029937159769846466,50150,1.4210854715202004e-14,0.0,0.21256286458333334,0,0,0,20.0,12.53234934626509
16,16.0,No learned router,0.0004586385078964973,0.0004586385078964973,50484,1.4210854715202004e-14,0.0,0.2139785375,0,0,0,16.0,11.0
16,16.0,No region allocation,0.0004586385078964973,0.0004586385078964973,50454,1.4210854715202004e-14,0.0,0.21385138125000003,0,0,0,16.0,11.0
16,16.0,No false-forward cap,0.00012723292902184748,0.00025446585804369496,50138,1.4210854715202004e-14,0.0,0.21251200208333335,3,2,0,16.0,12.53234934626509
16,16.0,No replay cache,0.00029937159769846466,0.00029937159769846466,50300,1.4210854715202004e-14,0.0,0.21319864583333334,0,0,0,16.0,12.53234934626509
16,16.0,Oracle allocation,0.00014339777516036132,0.00028679555032072265,50136,1.4210854715202004e-14,0.0,0.212503525,0,0,0,16.0,12.320873827975596
17,16.0,TRAPS full,0.0001497473642018276,0.0002994947284036552,50145,1.4210854715202004e-14,0.0,0.21254167187500003,0,0,0,20.0,12.816058384388837
17,16.0,No learned router,0.0004586385078964973,0.0004586385078964973,50457,1.4210854715202004e-14,0.0,0.21386409687500002,0,0,0,16.0,11.0
17,16.0,No region allocation,0.0004586385078964973,0.0004586385078964973,50484,1.4210854715202004e-14,0.0,0.2139785375,0,0,0,16.0,11.0
17,16.0,No false-forward cap,0.00012728525957155345,0.0002545705191431069,50118,1.4210854715202004e-14,0.0,0.21242723125000001,3,2,0,16.0,12.816058384388837
17,16.0,No replay cache,0.0002994947284036552,0.0002994947284036552,50314,1.4210854715202004e-14,0.0,0.21325798541666668,0,0,0,16.0,12.816058384388837
17,16.0,Oracle allocation,0.00014035079630462082,0.00028070159260924163,50157,1.4210854715202004e-14,0.0,0.212592534375,0,0,0,16.0,12.371669926862632
18,16.0,TRAPS full,0.0001527577766078496,0.0003055155532156992,50143,1.4210854715202004e-14,0.0,0.21253319479166669,0,0,0,20.0,12.589169377192395
18,16.0,No learned router,0.0004586385078964973,0.0004586385078964973,50437,1.4210854715202004e-14,0.0,0.2137793260416667,0,0,0,16.0,11.0
18,16.0,No region allocation,0.0004586385078964973,0.0004586385078964973,50414,1.4210854715202004e-14,0.0,0.21368183958333337,0,0,0,16.0,11.0
18,16.0,No false-forward cap,0.00012984411011667215,0.0002596882202333443,50140,1.4210854715202004e-14,0.0,0.21252047916666666,3,2,0,16.0,12.589169377192395
18,16.0,No replay cache,0.0003055155532156992,0.0003055155532156992,50304,1.4210854715202004e-14,0.0,0.2132156,0,0,0,16.0,12.589169377192395
18,16.0,Oracle allocation,0.00014695945956162432,0.00029391891912324865,50154,1.4210854715202004e-14,0.0,0.21257981875,0,0,0,16.0,12.296641001924556
19,16.0,TRAPS full,0.00017087166834946926,0.0003417433366989385,50173,1.4210854715202004e-14,0.0,0.21266035104166667,0,0,0,20.0,12.555972461916744
19,16.0,No learned router,0.0004586385078964973,0.0004586385078964973,50490,1.4210854715202004e-14,0.0,0.21400396875000002,0,0,0,16.0,11.0
19,16.0,No region allocation,0.0004586385078964973,0.0004586385078964973,50420,1.4210854715202004e-14,0.0,0.21370727083333335,0,0,0,16.0,11.0
19,16.0,No false-forward cap,0.00014524091809704886,0.00029048183619409773,50142,1.4210854715202004e-14,0.0,0.21252895625,3,2,0,16.0,12.555972461916744
19,16.0,No replay cache,0.0003417433366989385,0.0003417433366989385,50354,1.4210854715202004e-14,0.0,0.21342752708333335,0,0,0,16.0,12.555972461916744
19,16.0,Oracle allocation,0.00015508729080186204,0.0003101745816037241,50172,1.4210854715202004e-14,0.0,0.21265611250000002,0,0,0,16.0,12.215383745350417
20,16.0,TRAPS full,0.0001660813153986653,0.0003321626307973306,50154,1.4210854715202004e-14,0.0,0.21257981875,0,0,0,20.0,12.0755188434913
20,16.0,No learned router,0.0004586385078964973,0.0004586385078964973,50449,1.4210854715202004e-14,0.0,0.21383018854166666,0,0,0,16.0,11.0
20,16.0,No region allocation,0.0004586385078964973,0.0004586385078964973,50491,1.4210854715202004e-14,0.0,0.21400820729166667,0,0,0,16.0,11.0
20,16.0,No false-forward cap,0.0001411691180888655,0.000282338236177731,50135,1.4210854715202004e-14,0.0,0.21249928645833335,3,2,0,16.0,12.0755188434913
20,16.0,No replay cache,0.0003321626307973306,0.0003321626307973306,50333,1.4210854715202004e-14,0.0,0.21333851770833334,0,0,0,16.0,12.0755188434913
20,16.0,Oracle allocation,0.00016157658135601587,0.00032315316271203174,50156,1.4210854715202004e-14,0.0,0.21258829583333336,0,0,0,16.0,11.943078868553606
21,16.0,TRAPS full,0.00016123455282522812,0.00032246910565045624,50165,1.4210854715202004e-14,0.0,0.21262644270833334,0,0,0,20.0,12.738585769528413
21,16.0,No learned router,0.0004586385078964973,0.0004586385078964973,50467,1.4210854715202004e-14,0.0,0.21390648229166667,0,0,0,16.0,11.0
21,16.0,No region allocation,0.0004586385078964973,0.0004586385078964973,50442,1.4210854715202004e-14,0.0,0.21380051875,0,0,0,16.0,11.0
21,16.0,No false-forward cap,0.0001370493699014439,0.0002740987398028878,50124,1.4210854715202004e-14,0.0,0.21245266250000003,3,2,0,16.0,12.738585769528413
