seed,bits_per_key,replay_fraction,occupancy_injection_fraction,method,raw_invalid_forward_rate,first_seen_invalid_forward_rate,valid_rejects
7,16.0,0.0,0.01,Global Bloom,0.0004586385078964973,0.0004586385078964973,0
7,16.0,0.0,0.01,Risk partition,0.0004950169116635516,0.0004950169116635516,0
7,16.0,0.0,0.01,TRAPS learned,0.0006826285364882363,0.0006826285364882363,0
7,16.0,0.0,0.01,TRAPS+ReplayCache,0.0006826285364882363,0.0006826285364882363,0
7,16.0,0.0,0.01,Oracle AMQ,0.0003805316747113326,0.0003805316747113326,0
7,16.0,0.0,0.01,Peppered tag,1.52587890625e-05,1.52587890625e-05,0
7,16.0,0.0,0.01,Adaptive tag,2.2710881591887004e-05,2.2710881591887004e-05,0
8,16.0,0.0,0.01,Global Bloom,0.0004586385078964973,0.0004586385078964973,0
8,16.0,0.0,0.01,Risk partition,0.0004829477025690143,0.0004829477025690143,0
8,16.0,0.0,0.01,TRAPS learned,0.0005219542747632606,0.0005219542747632606,0
8,16.0,0.0,0.01,TRAPS+ReplayCache,0.0005219542747632606,0.0005219542747632606,0
8,16.0,0.0,0.01,Oracle AMQ,0.0003762582796382715,0.0003762582796382715,0
8,16.0,0.0,0.01,Peppered tag,1.52587890625e-05,1.52587890625e-05,0
8,16.0,0.0,0.01,Adaptive tag,1.7365288875133264e-05,1.7365288875133264e-05,0
9,16.0,0.0,0.01,Global Bloom,0.0004586385078964973,0.0004586385078964973,0
9,16.0,0.0,0.01,Risk partition,0.00046241126308444954,0.00046241126308444954,0
9,16.0,0.0,0.01,TRAPS learned,0.0005223656593918711,0.0005223656593918711,0
9,16.0,0.0,0.01,TRAPS+ReplayCache,0.0005223656593918711,0.0005223656593918711,0
9,16.0,0.0,0.01,Oracle AMQ,0.0003788754932903876,0.0003788754932903876,0
9,16.0,0.0,0.01,Peppered tag,1.52587890625e-05,1.52587890625e-05,0
9,16.0,0.0,0.01,Adaptive tag,1.7378975539387246e-05,1.7378975539387246e-05,0
0,16.0,0.0,0.05,Global Bloom,0.0004586385078964973,0.0004586385078964973,0
0,16.0,0.0,0.05,Risk partition,0.0004957357596640685,0.0004957357596640685,0
0,16.0,0.0,0.05,TRAPS learned,0.0005748424648991256,0.0005748424648991256,0
0,16.0,0.0,0.05,TRAPS+ReplayCache,0.0005748424648991256,0.0005748424648991256,0
0,16.0,0.0,0.05,Oracle AMQ,0.00039142134255821474,0.00039142134255821474,0
0,16.0,0.0,0.05,Peppered tag,1.52587890625e-05,1.52587890625e-05,0
0,16.0,0.0,0.05,Adaptive tag,1.9124865803991325e-05,1.9124865803991325e-05,0
1,16.0,0.0,0.05,Global Bloom,0.0004586385078964973,0.0004586385078964973,0
1,16.0,0.0,0.05,Risk partition,0.0005205672862621413,0.0005205672862621413,0
1,16.0,0.0,0.05,TRAPS learned,0.0006191933012021737,0.0006191933012021737,0
1,16.0,0.0,0.05,TRAPS+ReplayCache,0.0006191933012021737,0.0006191933012021737,0
1,16.0,0.0,0.05,Oracle AMQ,0.00038120821862324664,0.00038120821862324664,0
1,16.0,0.0,0.05,Peppered tag,1.52587890625e-05,1.52587890625e-05,0
1,16.0,0.0,0.05,Adaptive tag,2.0600407094663748e-05,2.0600407094663748e-05,0
2,16.0,0.0,0.05,Global Bloom,0.0004586385078964973,0.0004586385078964973,0
2,16.0,0.0,0.05,Risk partition,0.0004828756438176108,0.0004828756438176108,0
2,16.0,0.0,0.05,TRAPS learned,0.0005725136511488022,0.0005725136511488022,0
2,16.0,0.0,0.05,TRAPS+ReplayCache,0.0005725136511488022,0.0005725136511488022,0
2,16.0,0.0,0.05,Oracle AMQ,0.00036825448879034624,0.00036825448879034624,0
2,16.0,0.0,0.05,Peppered tag,1.52587890625e-05,1.52587890625e-05,0
2,16.0,0.0,0.05,Adaptive tag,1.9047386749855573e-05,1.9047386749855573e-05,0
3,16.0,0.0,0.05,Global Bloom,0.0004586385078964973,0.0004586385078964973,0
3,16.0,0.0,0.05,Risk partition,0.00046555025247961275,0.00046555025247961275,0
3,16.0,0.0,0.05,TRAPS learned,0.0004806309410405463,0.0004806309410405463,0
3,16.0,0.0,0.05,TRAPS+ReplayCache,0.0004806309410405463,0.0004806309410405463,0
3,16.0,0.0,0.05,Oracle AMQ,0.00035598708860721715,0.00035598708860721715,0
3,16.0,0.0,0.05,Peppered tag,1.52587890625e-05,1.52587890625e-05,0
3,16.0,0.0,0.05,Adaptive tag,1.5990471842158608e-05,1.5990471842158608e-05,0
4,16.0,0.0,0.05,Global Bloom,0.0004586385078964973,0.0004586385078964973,0
4,16.0,0.0,0.05,Risk partition,0.0005076506849034352,0.0005076506849034352,0
4,16.0,0.0,0.05,TRAPS learned,0.0007074789895540526,0.0007074789895540526,0
4,16.0,0.0,0.05,TRAPS+ReplayCache,0.0007074789895540526,0.0007074789895540526,0
4,16.0,0.0,0.05,Oracle AMQ,0.00037413026513762667,0.00037413026513762667,0
4,16.0,0.0,0.05,Peppered tag,1.52587890625e-05,1.52587890625e-05,0
