kind,denominator,upper_95,retained_tokens,memory_mib
cache_256,,,18988.078244652614,0.579470161274799
cache_256,,,21967.070907932353,0.6703818026102403
cache_256,,,25413.43036702639,0.7755563466499753
cache_256,,,29400.48064334714,0.8972314649458966
cache_256,,,34013.04938279253,1.037995891808854
cache_256,,,39349.272630958454,1.200844501677199
cache_256,,,45522.682755073096,1.3892420274375334
cache_256,,,52664.623934842806,1.6071967753553102
cache_256,,,60927.04661368687,1.8593459049587058
cache_256,,,70485.74036451904,2.1510540882726756
cache_256,,,81544.07395185171,2.488527647456412
cache_256,,,94337.32216299773,2.8789465992125773
cache_256,,,109137.67146512738,3.330617415317608
cache_256,,,126260.01098748577,3.8531497493739555
cache_256,,,146068.6320364989,4.457660889785733
cache_256,,,168984.97868124588,5.1570122888563805
cache_256,,,195496.61430912596,5.966083200351744
cache_256,,,226167.59492228646,6.90208724738423
cache_256,,,261650.46987488234,7.984938655849681
cache_256,,,302700.1653763468,9.237675945323083
cache_256,,,350190.0461431713,10.686952091771586
cache_256,,,405130.4969235378,12.363601590684137
cache_256,,,468690.4192314192,14.303296485333838
cache_256,,,542222.1006501592,16.547305317692846
cache_256,,,627289.9858196257,19.14337114928057
cache_256,,,725703.9612324216,22.146727332532397
cache_256,,,839557.8619995121,25.62127264402808
cache_256,,,971274.0198471168,29.640930781467187
cache_256,,,1123654.8001387515,34.29122314876561
cache_256,,,1299942.2244132475,39.671088391517564
cache_256,,,1503886.94695541,45.89498739487946
cache_256,,,1739828.0529303658,53.09533852936907
cache_256,,,2012785.3758499385,61.425334956357986
cache_256,,,2328566.2984981965,71.06220393366078
cache_256,,,2693889.3095901753,82.21097746552049
cache_256,,,3116526.9449294303,95.10885452055146
cache_256,,,3605471.154250506,110.03024762727374
cache_256,,,4171124.6120565245,127.2926212175453
cache_256,,,4825522.042741279,147.26324593326657
cache_256,,,5582586.2688627,170.3670125995697
cache_256,,,6458424.430196991,197.0954721129453
cache_256,,,7471670.675868082,228.01729357507574
cache_256,,,8643882.620598279,263.7903631774377
cache_256,,,10000000.0,305.17578125
