seed,target_zipf_alpha,risk_shift,bits_per_key,method,first_seen_invalid_forward_rate,probe_cost,backend_reduction,amq_rank,valid_rejects
6,0.4,0.5,12.0,Peppered tag,0.000244140625,1.0,0.9088689630681819,,0
6,0.4,0.5,12.0,Adaptive tag,0.00022196669669629683,1.0,0.9088891211848216,,0
7,0.4,0.5,12.0,Global Bloom,0.003134028105931708,8.0,0.9062417926309712,4,0
7,0.4,0.5,12.0,Risk partition,0.0029935649723062305,8.609472184219117,0.9063694863888125,2,0
7,0.4,0.5,12.0,TRAPS learned,0.002996663873781418,8.622429056563774,0.9063666692056532,3,0
7,0.4,0.5,12.0,Oracle AMQ,0.0028183854949286775,8.650981625939204,0.9065287404591558,1,0
7,0.4,0.5,12.0,Peppered tag,0.000244140625,1.0,0.9088689630681819,,0
7,0.4,0.5,12.0,Adaptive tag,0.0002334399585234158,1.0,0.9088786909467969,,0
8,0.4,0.5,12.0,Global Bloom,0.003134028105931708,8.0,0.9062417926309712,3,0
8,0.4,0.5,12.0,Risk partition,0.003111282409733718,8.305775929997175,0.9062624705366057,2,0
8,0.4,0.5,12.0,TRAPS learned,0.003165629663598093,8.682606654421566,0.9062130639421836,5,0
8,0.4,0.5,12.0,Oracle AMQ,0.0028849339393397793,8.672264691245186,0.9064682418733274,1,0
8,0.4,0.5,12.0,Peppered tag,0.000244140625,1.0,0.9088689630681819,,0
8,0.4,0.5,12.0,Adaptive tag,0.0002466023846839806,1.0,0.9088667251048328,,0
9,0.4,0.5,12.0,Global Bloom,0.003134028105931708,8.0,0.9062417926309712,4,0
9,0.4,0.5,12.0,Risk partition,0.0029971805752830715,8.62711581215467,0.9063661994770154,3,0
9,0.4,0.5,12.0,TRAPS learned,0.002972577117348949,8.888478792624522,0.9063885662569555,2,0
9,0.4,0.5,12.0,Oracle AMQ,0.0027978301752197327,8.553517647051363,0.9065474271134366,1,0
9,0.4,0.5,12.0,Peppered tag,0.000244140625,1.0,0.9088689630681819,,0
9,0.4,0.5,12.0,Adaptive tag,0.0002315636014612325,1.0,0.9088803967259443,,0
0,0.4,0.75,12.0,Global Bloom,0.003134028105931708,8.0,0.9062417926309712,2,0
0,0.4,0.75,12.0,Risk partition,0.0031616196840213574,8.53231473396792,0.9062167093781625,5,0
0,0.4,0.75,12.0,TRAPS learned,0.0031586914484179208,8.720388655220733,0.9062193714105291,4,0
0,0.4,0.75,12.0,Oracle AMQ,0.0028622619390615794,8.493776685419203,0.9064888527826713,1,0
0,0.4,0.75,12.0,Peppered tag,0.000244140625,1.0,0.9088689630681819,,0
0,0.4,0.75,12.0,Adaptive tag,0.0002460618980855147,1.0,0.9088672164562859,,0
1,0.4,0.75,12.0,Global Bloom,0.003134028105931708,8.0,0.9062417926309712,3,0
1,0.4,0.75,12.0,Risk partition,0.003078571183024245,8.516260880870156,0.9062922080154325,2,0
1,0.4,0.75,12.0,TRAPS learned,0.0032398358854950383,8.596751942958358,0.906145603740459,5,0
1,0.4,0.75,12.0,Oracle AMQ,0.0028658901904499282,8.544706599730391,0.9064855543723183,1,0
1,0.4,0.75,12.0,Peppered tag,0.000244140625,1.0,0.9088689630681819,,0
1,0.4,0.75,12.0,Adaptive tag,0.0002523830454759246,1.0,0.9088614699586582,,0
2,0.4,0.75,12.0,Global Bloom,0.003134028105931708,8.0,0.9062417926309712,4,0
2,0.4,0.75,12.0,Risk partition,0.003033633934788586,8.750829380757217,0.9063330600592832,3,0
2,0.4,0.75,12.0,TRAPS learned,0.0030266171368525103,8.611103182295388,0.9063394389664977,2,0
2,0.4,0.75,12.0,Oracle AMQ,0.0028055435447257478,8.621669126463711,0.9065404149593402,1,0
2,0.4,0.75,12.0,Peppered tag,0.000244140625,1.0,0.9088689630681819,,0
2,0.4,0.75,12.0,Adaptive tag,0.00023577331614491414,1.0,0.9088765697125956,,0
3,0.4,0.75,12.0,Global Bloom,0.003134028105931708,8.0,0.9062417926309712,4,0
3,0.4,0.75,12.0,Risk partition,0.0029476422012997983,8.696417222670487,0.9064112343624547,2,0
3,0.4,0.75,12.0,TRAPS learned,0.002982092970346309,8.774477526153882,0.9063799154815033,3,0
3,0.4,0.75,12.0,Oracle AMQ,0.0027258941006711125,8.81686926772246,0.9066128235448444,1,0
3,0.4,0.75,12.0,Peppered tag,0.000244140625,1.0,0.9088689630681819,,0
3,0.4,0.75,12.0,Adaptive tag,0.00023230488591040088,1.0,0.9088797228309905,,0
4,0.4,0.75,12.0,Global Bloom,0.003134028105931708,8.0,0.9062417926309712,4,0
4,0.4,0.75,12.0,Risk partition,0.0030249873470794444,8.315596397180586,0.9063409205935642,3,0
4,0.4,0.75,12.0,TRAPS learned,0.002978327839538836,8.629347531304521,0.906383338327692,2,0
4,0.4,0.75,12.0,Oracle AMQ,0.002809332687669105,8.692576317881219,0.9065369702839372,1,0
4,0.4,0.75,12.0,Peppered tag,0.000244140625,1.0,0.9088689630681819,,0
4,0.4,0.75,12.0,Adaptive tag,0.00023201158241806659,1.0,0.9088799894705291,,0
